run	default	elitism	elitism-speciation
1	1.717	1.006	1.125
2	1.796	1.358	1.377
3	1.868	1.615	1.572
4	1.94	1.707	1.752
5	1.982	1.71	1.765
6	2.057	2.702	1.928
7	2.129	2.8	1.989
8	2.191	2.875	1.995
9	2.808	2.99	2.179
10	3.027	3.091	2.563
11	3.092	3.109	2.647
12	3.094	3.285	2.731
13	3.252	3.713	2.976
14	3.69	3.743	3.12
15	3.839	4.845	3.125
16	4.035	5.558	3.461
17	4.154	6.604	3.471
18	4.624	8.109	3.776
19	5.212	8.539	3.827
20	5.256	8.632	4.332
21	5.368	8.676	4.812
22	5.873	8.861	5.586
23	6.169	9.243	7.618
24	6.524	9.439	8.559
25	6.663	17.716	8.606
26	6.977	17.759	15.883
27	7.082	17.845	17.498
28	7.435	18.005	17.503
29	7.751	18.022	17.578
30	7.755	18.048	17.773
31	8.182	18.135	17.812
32	8.665	18.189	18.064
33	9.217	18.237	18.128
34	9.455	18.24	18.129
35	16.958	18.256	18.197
36	17.74	18.265	18.221
37	18.013	18.266	18.227
38	18.18	18.266	18.252
39	18.208	18.274	18.26
40	18.257	18.276	18.271
41	18.266	18.283	18.272
42	18.269	18.288	18.274
43	18.275	18.291	18.275
44	18.277	18.294	18.277
45	18.28	18.295	18.277
46	18.287	18.297	18.281
47	18.292	18.298	18.282
48	18.293	18.299	18.295
49	18.297	18.299	18.298
50	18.298	18.302	18.3
